,auc_fold1,auc_fold2,auc_fold3,auc_mean,acc_fold1,acc_fold2,acc_fold3,acc_mean,f1_fold1,f1_fold2,f1_fold3,f1_mean
CE_D_Sub_resnet50_ur0.3_me100_lr_0.0001_decay_0.0_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.8949333333333334,0,0,0.29831111111111114,0.825,0,0,0.27499999999999997,0.7407407407407408,0,0,0.2469135802469136
CE_D_Sub_resnet50_ur0.3_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9001600000000001,0,0,0.30005333333333334,0.82,0,0,0.2733333333333333,0.7313432835820896,0,0,0.24378109452736318
CE_D_Sub_resnet50_ur0.5_me100_lr_0.0001_decay_0.0_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9681066666666668,0,0,0.3227022222222223,0.92,0,0,0.3066666666666667,0.888888888888889,0,0,0.29629629629629634
CE_D_Sub_resnet50_ur0.5_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9780266666666666,0,0,0.32600888888888885,0.9,0,0,0.3,0.8550724637681159,0,0,0.28502415458937197
CE_D_Sub_resnet50_ur0.5_me100_lr_0.001_decay_1e-05_aug_flip_bsz_32_rsz_32_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9309866666666666,0,0,0.3103288888888889,0.875,0,0,0.2916666666666667,0.8226950354609929,0,0,0.27423167848699764
CE_D_Sub_resnet50_ur0.5_me100_lr_0.001_decay_1e-05_aug_flip_bsz_8_rsz_32_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9392,0,0,0.31306666666666666,0.79,0,0,0.26333333333333336,0.7666666666666667,0,0,0.2555555555555556
CE_D_Sub_resnet50_ur0.5_me200_lr_0.001_decay_0.0_aug_flip_bsz_8_rsz_32_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9169066666666666,0,0,0.30563555555555555,0.8,0,0,0.26666666666666666,0.7701149425287357,0,0,0.2567049808429119
CE_D_Sub_resnet50_ur1.0_me100_lr_0.0001_decay_0.0_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.99232,0,0,0.3307733333333333,0.9,0,0,0.3,0.8507462686567164,0,0,0.2835820895522388
CE_D_Sub_resnet50_ur1.0_me100_lr_0.0001_decay_1e-05_aug_pin-sim_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9179733333333332,0,0,0.30599111111111105,0.86,0,0,0.2866666666666667,0.7812499999999999,0,0,0.26041666666666663
CE_D_Sub_resnet50_ur1.0_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_unbalanced_whole_data_cosine_,0.9906133333333332,0,0,0.3302044444444444,0.935,0,0,0.3116666666666667,0.9078014184397164,0,0,0.3026004728132388
