,auc_fold1,auc_fold2,auc_fold3,auc_mean,acc_fold1,acc_fold2,acc_fold3,acc_mean,f1_fold1,f1_fold2,f1_fold3,f1_mean
D_Sub_resnet50_ur0.5_Joint_CE_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_warmup_whole_data_cosine_,0.9969066666666668,0.9982933333333334,0.9979733333333334,0.9977244444444445,0.96,0.96,0.97,0.9633333333333333,0.943661971830986,0.9444444444444444,0.9583333333333334,0.9488132498695879
D_Sub_resnet50_ur0.5_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_SupCon_sampling_unbalanced_whole_data_cosine_,0.9937066666666668,0.99776,0.9933866666666666,0.9949511111111112,0.955,0.975,0.965,0.965,0.9370629370629372,0.9659863945578232,0.9517241379310346,0.951591156517265
D_Sub_resnet50_ur0.5_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_SupCon_sampling_warmup_whole_data_cosine_,0.9981866666666668,0.99872,0.9994666666666666,0.9987911111111112,0.97,0.97,0.975,0.9716666666666667,0.9589041095890412,0.9594594594594594,0.9655172413793104,0.9612936034759371
D_Sub_resnet50_ur0.5_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_pos_denom_sampling_warmup_whole_data_cosine_,0.9985066666666668,0.9956266666666668,0.9975466666666668,0.9972266666666668,0.98,0.965,0.96,0.9683333333333333,0.9726027397260272,0.9523809523809524,0.9444444444444444,0.9564760455171414
D_Sub_resnet50_ur0.5_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_pos_numer_sampling_warmup_whole_data_cosine_,0.99808,0.9965866666666666,0.9962666666666666,0.9969777777777779,0.97,0.965,0.96,0.965,0.9583333333333334,0.9510489510489508,0.943661971830986,0.9510147520710901
D_Sub_resnet50_ur0.5_meCE_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_32_temp_288_sampling_unbalanced_whole_data_cosine_,0.9780266666666666,0.9761066666666666,0.98784,0.9806577777777777,0.9,0.935,0.915,0.9166666666666666,0.8550724637681159,0.9078014184397164,0.8759124087591241,0.8795954303223188
D_Sub_resnet50_ur0.5_meJoint_CE_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_32_temp_288_sampling_balanced_whole_data_cosine_,0.99808,0.99712,0.9989333333333332,0.9980444444444444,0.98,0.965,0.96,0.9683333333333333,0.9729729729729728,0.9510489510489508,0.9444444444444444,0.956155456155456
D_Sub_resnet50_ur0.5_meJoint_CE_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_32_temp_288_sampling_unbalanced_whole_data_cosine_,0.9992533333333332,0.9979733333333332,0.99648,0.9979022222222221,0.97,0.97,0.975,0.9716666666666667,0.9589041095890412,0.9594594594594594,0.9659863945578232,0.9614499878687747
D_Sub_resnet50_ur0.5_meJoint_Con_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_16_temp_288_SupCon_sampling_balanced_whole_data_cosine_,0.99904,0.9966933333333334,0.99648,0.9974044444444444,0.97,0.96,0.97,0.9666666666666667,0.9583333333333334,0.9452054794520548,0.9589041095890412,0.9541476407914763
D_Sub_resnet50_ur1.0_Joint_CE_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_32_rsz_288_temp_0.08_sampling_warmup_whole_data_cosine_,0.9985066666666664,0.9986133333333334,0.9975466666666666,0.9982222222222221,0.965,0.96,0.97,0.9649999999999999,0.9510489510489508,0.943661971830986,0.9589041095890412,0.9512050108229927
D_Sub_resnet50_ur1.0_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_SupCon_sampling_unbalanced_whole_data_cosine_,0.99776,0.9991466666666666,0.99808,0.9983288888888889,0.96,0.97,0.975,0.9683333333333333,0.9444444444444444,0.9583333333333334,0.9655172413793104,0.9560983397190294
D_Sub_resnet50_ur1.0_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_SupCon_sampling_warmup_whole_data_cosine_,0.9992533333333332,0.99936,0.9953066666666668,0.9979733333333334,0.97,0.98,0.945,0.965,0.9583333333333334,0.9726027397260272,0.920863309352518,0.9505997941372929
D_Sub_resnet50_ur1.0_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_pos_denom_sampling_warmup_whole_data_cosine_,0.9991466666666666,0.99808,0.9995733333333332,0.9989333333333333,0.98,0.96,0.965,0.9683333333333333,0.9726027397260272,0.943661971830986,0.9510489510489508,0.9557712208686547
D_Sub_resnet50_ur1.0_Joint_Con_me100_lr_0.0001_decay_1e-05_aug_pin_bsz_16_rsz_288_temp_0.08_pos_numer_sampling_warmup_whole_data_cosine_,0.9989333333333332,0.9975466666666668,0.99904,0.9985066666666667,0.985,0.955,0.955,0.965,0.979591836734694,0.9370629370629372,0.9361702127659576,0.9509416621878629
D_Sub_resnet50_ur1.0_meCE_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_32_temp_288_sampling_unbalanced_whole_data_cosine_,0.9906133333333332,0.9946666666666666,0.99168,0.99232,0.935,0.95,0.91,0.9316666666666666,0.9078014184397164,0.9315068493150686,0.8676470588235293,0.9023184421927715
D_Sub_resnet50_ur1.0_meJoint_CE_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_32_temp_288_sampling_balanced_whole_data_cosine_,0.9988266666666664,0.9991466666666666,0.9965866666666666,0.9981866666666664,0.98,0.975,0.94,0.965,0.9729729729729728,0.9659863945578232,0.915492957746479,0.9514841084257584
D_Sub_resnet50_ur1.0_meJoint_CE_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_32_temp_288_sampling_unbalanced_whole_data_cosine_,0.9994666666666666,0.9984,0.9992533333333332,0.9990399999999999,0.97,0.96,0.985,0.9716666666666667,0.9583333333333334,0.9444444444444444,0.9798657718120806,0.9608811831966194
D_Sub_resnet50_ur1.0_meJoint_Con_lr_100_decay_0.0001_aug_1e-05_bsz_pin_rsz_16_temp_288_SupCon_sampling_balanced_whole_data_cosine_,0.9969066666666666,0.9995733333333332,0.99776,0.9980799999999999,0.98,0.965,0.945,0.9633333333333333,0.9729729729729728,0.9510489510489508,0.9219858156028368,0.9486692465415868
